slice_thickness_group,model,patients,reader_records,high_risk_prevalence,roc_auc,balanced_accuracy_global_threshold
<=2 mm,Model 1 - Single-task,68,366,0.3743169398907104,0.5547764000892488,0.5550473336945781
<=2 mm,Model 2 - Multi-label concept,68,366,0.3743169398907104,0.5363210403850445,0.5388869410002232
>2 mm,Model 1 - Single-task,44,262,0.44274809160305345,0.5388521492678319,0.531235238545111
>2 mm,Model 2 - Multi-label concept,44,262,0.44274809160305345,0.5859116674539442,0.5186584789796882
