metric,model_1_single_task,model_2_multi_label_concept,model_2_minus_model_1
roc_auc,0.5523741765480896,0.5577654808959157,0.005391304347826087
pr_auc,0.43092751541560126,0.4425041489822711,0.011576633566669825
accuracy,0.49044585987261147,0.4840764331210191,-0.006369426751592355
sensitivity,0.841897233201581,0.8221343873517787,-0.01976284584980237
specificity,0.25333333333333335,0.256,0.0026666666666666505
precision_ppv,0.43204868154158216,0.4271047227926078,-0.004943958748974353
npv,0.7037037037037037,0.6808510638297872,-0.022852639873916503
f1,0.5710455764075067,0.5621621621621622,-0.008883414245344556
balanced_accuracy,0.5476152832674572,0.5390671936758893,-0.008548089591567942
